centris_no,property_type,price,year_built,lot_area,net_area,small region,big region,bedroom,bathroom,listing_hyperlink
20546507,Condo for sale,567000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/20546507?view=Summary
21871773,Condo for sale,475000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/21871773?view=Summary
16230367,Condo for sale,333000,2020,0,0,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/16230367?view=Summary
16714794,Condo for sale,530000,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/16714794?view=Summary
23980097,Condo for sale,319900,2012,0,1,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/23980097?view=Summary
14004230,Condo for sale,361750,2020,0,0,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/14004230?view=Summary
10488982,Condo for sale,579000,1996,0,1,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/10488982?view=Summary
23920274,Condo for sale,539000,2017,0,0,montreal-lasalle,montreal,3,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/23920274?view=Summary
23602073,Condo for sale,469000,2002,0,1,montreal-lasalle,montreal,3,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/23602073?view=Summary
14622691,Condo for sale,219000,2019,0,396,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/14622691?view=Summary
20061268,Condo for sale,449000,2019,0,791,montreal-lasalle,montreal,2,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/20061268?view=Summary
20796255,Condo for sale,439000,2012,0,835,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/20796255?view=Summary
25558026,Condo for sale,386000,2012,0,827,montreal-lasalle,montreal,-1,1,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/25558026?view=Summary
24000991,Condo for sale,689000,2019,0,1,montreal-lasalle,montreal,3,3,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/24000991?view=Summary
17571928,Condo for sale,649000,2017,0,1,montreal-lasalle,montreal,5,2,https://www.centris.ca/en/condos~for-sale~montreal-lasalle/17571928?view=Summary
