centris_no,property_type,price,address,municipality,coordinates,bedrooms,bathrooms,powder_rooms,building_style,year_built,lot_area,net_area,listing_hyperlink
22170338,Triplex for sale,"$669,000",8623 - 8625, Rue Brown,"Lat:45.4295370000, Lon:-73.6292440000",,,,Attached,1966,"2,865 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/22170338?view=Summary
10809258,Duplex for sale,"$748,000",348 - 350, Rue de Cabano,"Lat:45.4183380000, Lon:-73.6336640000",,,,Semi-detached,1963,"4,465 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/10809258?view=Summary
25422705,Duplex for sale,"$819,000",7730 - 7732, Rue Tétrault,"Lat:45.4373440000, Lon:-73.6222280000",,,,Semi-detached,1970,"3,028 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/25422705?view=Summary
22113955,Duplex for sale,"$694,900",9715 - 9717, Rue Jeannette,"Lat:45.4306410000, Lon:-73.6614630000",,,,Semi-detached,1968,"4,583 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/22113955?view=Summary
20666086,Duplex for sale,"$579,000",895 - 897, Rue Maher,"Lat:45.4242180000, Lon:-73.6319660000",,,,Semi-detached,1966,"2,988 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/20666086?view=Summary
15580448,Duplex for sale,"$799,999",334 - 336, Rue Juneau,"Lat:45.4287705900, Lon:-73.6415484600",,,,Semi-detached,1976,"3,057 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/15580448?view=Summary
21087760,Duplex for sale,"$625,000",1345 - 1347, Rue Maurice,"Lat:45.4305370000, Lon:-73.6211650000",,,,Semi-detached,1967,"2,864 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/21087760?view=Summary
15086684,Business for sale,"$558,000",Rue Non Disponible-Unavailable, Montréal (LaSalle),"Lat:45.4432570000, Lon:-73.6158590000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/15086684?view=Summary
17037323,Duplex for sale,"$599,900",478 - 480, 32e Avenue,"Lat:45.4177600000, Lon:-73.6115080000",,,,Semi-detached,1960,"2,768 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/17037323?view=Summary
16467834,Duplex for sale,"$1,250,000",8713Z - 8715Z, boulevard LaSalle,"Lat:45.4154820000, Lon:-73.6206800000",,,,Detached,1910,"9,025 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/16467834?view=Summary
27922504,Duplex for sale,"$549,000",194 - 196, 4e Avenue,"Lat:45.4315220000, Lon:-73.5985090000",,,,Attached,1946,"2,175 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/27922504?view=Summary
12582396,Duplex for sale,"$675,000",8785 - 8787A, Rue Tardif,"Lat:45.4268480000, Lon:-73.6301500000",,,,Attached,1970,"2,490 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/12582396?view=Summary
22301729,Business for sale,"$850,000",296, Avenue Lafleur,"Lat:45.4296590000, Lon:-73.6482450000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/22301729?view=Summary
11388256,Triplex for sale,"$959,000",29 - 33, 69e Avenue,"Lat:45.4170860000, Lon:-73.6280870000",,,,Semi-detached,1968,"4,161 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/11388256?view=Summary
12465388,Triplex for sale,"$899,000",524 - 520, 40e Avenue,"Lat:45.4168934800, Lon:-73.6154003800",,,,Semi-detached,1961,"3,580 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/12465388?view=Summary
10897575,Triplex for sale,"$699,900",460 - 462, 75e Avenue,"Lat:45.4189490000, Lon:-73.6313250000",,,,Semi-detached,1965,"3,426 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/10897575?view=Summary
9558737,Duplex for sale,"$799,500",8476 - 8478, Avenue des Rapides,"Lat:45.4168830000, Lon:-73.6133540000",,,,Semi-detached,1961,"3,428 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/9558737?view=Summary
10417974,Quadruplex for sale,"$1,050,000",1512 - 1518, Rue Serre,"Lat:45.4317640000, Lon:-73.6240600000",,,,Semi-detached,1968,"3,580 sqft",,https://www.centris.ca/en/4plex~for-sale~montreal-lasalle/10417974?view=Summary
24841949,Duplex for sale,"$439,000",180 - 182, Rue Larente,"Lat:45.4334750000, Lon:-73.6420500000",,,,Detached,1960,"4,000 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/24841949?view=Summary
10695133,Duplex for sale,"$599,900",792 - 794, Avenue Carroll,"Lat:45.4188700000, Lon:-73.6122030000",,,,Semi-detached,1959,"2,597 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/10695133?view=Summary
23804335,Business for sale,"$50,000",112C - 112D, 65e Avenue,"Lat:45.4186170000, Lon:-73.6256970000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/23804335?view=Summary
17227299,Quintuplex for sale,"$539,000",69 - 73, Rue Centrale,"Lat:45.4233890000, Lon:-73.6510500000",,,,Detached,1955,"1,717 sqft",,https://www.centris.ca/en/5plex~for-sale~montreal-lasalle/17227299?view=Summary
26724158,Duplex for sale,"$499,000",7738Z - 7740Z, Rue George,"Lat:45.4297210000, Lon:-73.6049970000",,,,Detached,1953,"2,746 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/26724158?view=Summary
17812912,Business for sale,"$59,000",1472, boulevard Shevchenko,"Lat:45.4311100000, Lon:-73.6158800000",,,,,,,,https://www.centris.ca/en/businesses~for-sale~montreal-lasalle/17812912?view=Summary
24523857,Duplex for sale,"$750,000",2162 - 2164, Rue Lise,"Lat:45.4343900000, Lon:-73.6314080000",,,,Semi-detached,1967,,,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/24523857?view=Summary
20490978,Duplex for sale,"$549,000",463 - 465, Avenue Paquin,"Lat:45.4205110000, Lon:-73.6375850000",,,,Semi-detached,1966,,,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/20490978?view=Summary
19562698,Income properties for sale,"$2,549,000",1562Z - 1582Z, Rue Thierry,"Lat:45.4354730000, Lon:-73.6228370000",,,,,1970,"25,524 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-lasalle/19562698?view=Summary
17209224,Duplex for sale,"$549,900",735 - 737, Avenue Lacharité,"Lat:45.4357870000, Lon:-73.5985750000",,,,Semi-detached,1957,"2,153 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/17209224?view=Summary
17925126,Duplex for sale,"$599,900",8067 - 8069, Rue Juliette,"Lat:45.4356370000, Lon:-73.6285700000",,,,Attached,1967,"2,324 sqft",,https://www.centris.ca/en/duplexes~for-sale~montreal-lasalle/17925126?view=Summary
27754220,Income properties for sale,"$1,029,000",7654 - 7658, Rue Centrale,"Lat:45.4310090000, Lon:-73.5977140000",,,,,1949,"3,519 sqft",,https://www.centris.ca/en/multi-family-properties~for-sale~montreal-lasalle/27754220?view=Summary
11778118,Triplex for sale,"$799,000",2436 - 2438A, Avenue Dollard,"Lat:45.4330670000, Lon:-73.6375590000",,,,Detached,1959,"3,115 sqft",,https://www.centris.ca/en/triplexes~for-sale~montreal-lasalle/11778118?view=Summary
