small region,bedroom,year,avg_price,total
 Vieux-Montréal,-1,10 less,375750.0,4
 Vieux-Montréal,-1,20 less,428357.14285714284,7
 Vieux-Montréal,-1,30 less,499000.0,1
 Vieux-Montréal,-1,30 more,591333.3333333334,3
 Vieux-Montréal,2,10 less,569000.0,1
 Vieux-Montréal,2,20 less,607666.6666666666,9
 Vieux-Montréal,2,30 more,1312428.5714285714,7
 Vieux-Montréal,3,20 less,1123333.3333333333,3
 Vieux-Montréal,3,30 more,1166666.6666666667,3
 Vieux-Montréal,4,20 less,4269500.0,2
 Vieux-Montréal,4,30 less,1149000.0,1
 Vieux-Montréal,5,30 more,1250000.0,1
 Vieux-Rosemont,-1,30 more,325000.0,1
 Vieux-Rosemont,2,30 more,449000.0,1
 Village de Pointe-Claire,3,20 less,885000.0,1
 Ville-Marie,-1,10 less,365000.0,1
 Ville-Marie,-1,30 more,349900.0,1
 Ville-Marie,-1,5 less,559000.0,1
 Ville-Marie,2,10 less,702542.8571428572,7
 Ville-Marie,2,20 less,619995.0,1
 Ville-Marie,2,30 less,395000.0,1
 Ville-Marie,2,30 more,500000.0,1
 Ville-Marie,2,5 less,539000.0,1
 Ville-Émard,-1,10 less,390500.0,2
 Ville-Émard,2,30 more,516333.3333333333,3
 Ville-Émard,2,5 less,412000.0,2
 Ville-Émard,3,5 less,539000.0,1
 Westmount,-1,30 more,557000.0,2
 Westmount,2,5 less,1037000.0,2
 Westmount,3,30 more,1889000.0,2
 Westmount,3,5 less,2333200.0,2
 Édouard-Montpetit,-1,10 less,320750.0,4
 Édouard-Montpetit,2,10 less,595000.0,1
 Édouard-Montpetit,2,30 more,399000.0,1
 Étienne-Desmarteau,2,30 more,324900.0,1
 Étienne-Desmarteau,4,30 more,549000.0,1
 Île-des-Sœurs,-1,10 less,511750.0,2
 Île-des-Sœurs,-1,30 more,382166.5,6
 Île-des-Sœurs,2,10 less,783685.7142857143,7
 Île-des-Sœurs,2,20 less,727648.0,6
 Île-des-Sœurs,2,30 more,546500.0,6
 Île-des-Sœurs,2,5 less,690000.0,1
 Île-des-Sœurs,3,10 less,953666.6666666666,3
 Île-des-Sœurs,3,20 less,964666.6666666666,3
 Île-des-Sœurs,3,30 more,862000.0,2
 Île-des-Sœurs,4,30 more,599000.0,1
3433,2,30 more,499000.0,1
3599,3,30 more,699000.0,1
4214,2,30 more,575000.0,1
4226,2,30 more,575000.0,1
4421a,2,30 more,449000.0,1
