small region,bedroom,year,avg_price,total
 Montréal,3,30 more,718800.0,5
 Montréal,3,5 less,639000.0,1
 Montréal,4,30 more,962800.0,5
 Montréal,5,10 less,3995000.0,1
 Montréal,5,30 less,762000.0,2
 Montréal,5,30 more,1268500.0,2
 Montréal,6,20 less,759000.0,1
 Montréal-Est,2,30 more,379000.0,1
 Montréal-Nord,3,30 more,458046.5,2
 Montréal-Nord,4,30 more,449000.0,1
 Montréal-Nord-Est,4,30 more,359000.0,2
 Montréal-Ouest,3,30 more,979000.0,1
 Montréal-Ouest,4,30 more,1087500.0,2
 Montréal-Ouest,5,30 more,859000.0,2
 Nicolas-Viel,3,30 more,499500.0,1
 Nouveau-Bordeau,3,30 more,629000.0,3
 Nouveau-Bordeau,4,30 more,695000.0,1
 Nouveau-Bordeau,5,30 more,1188000.0,1
 Nouveau-Bordeau,6,30 more,1100000.0,1
 Outremont,4,30 more,1904500.0,2
 Outremont,5,30 more,2656200.0,5
 Outremont,6,30 more,2850000.0,1
 Outremont,7,30 more,3813000.0,3
 Parc-Extension,4,30 more,519450.0,2
 Parc-Jarry,3,30 more,949000.0,1
 Parc-Jarry,4,30 more,999999.0,1
 Parc-Kent,3,30 less,1148000.0,1
 Parc-Kent,3,30 more,1195000.0,1
 Parc-Kent,5,30 more,1185000.0,1
 Parc-Kent,6,30 more,1888000.0,1
 Parc-Kent,10,30 more,2479000.0,1
 Parc-Lafontaine,2,30 more,745000.0,1
 Parc-Lafontaine,3,30 more,1248666.6666666667,3
 Parc-Lafontaine,4,30 more,1465000.0,1
 Parc-Laurier,2,10 less,1365000.0,1
 Parc-Laurier,3,30 more,1412500.0,2
 Parc-Laurier,5,10 less,1079000.0,1
 Parc-Laurier,6,30 more,1299000.0,1
 Petite Italie,3,5 less,1269000.0,1
 Petite-Bourgogne,3,30 less,1249000.0,2
 Petite-Bourgogne,3,30 more,985000.0,1
 Petite-Bourgogne,4,30 more,894000.0,1
 Petite-Côte,4,20 less,818700.0,1
 Petite-Côte,5,20 less,1197700.0,1
 Pierrefonds-Est/Roxboro,-1,30 more,595000.0,2
 Pierrefonds-Est/Roxboro,2,30 more,275000.0,1
 Pierrefonds-Est/Roxboro,3,10 less,1099000.0,1
 Pierrefonds-Est/Roxboro,3,20 less,469450.0,2
 Pierrefonds-Est/Roxboro,3,30 more,420112.5,8
 Pierrefonds-Est/Roxboro,4,20 less,646925.0,4
 Pierrefonds-Est/Roxboro,4,30 less,639000.0,1
 Pierrefonds-Est/Roxboro,4,30 more,549427.2727272727,11
 Pierrefonds-Est/Roxboro,5,20 less,739000.0,2
 Pierrefonds-Est/Roxboro,5,30 less,924500.0,2
 Pierrefonds-Est/Roxboro,5,30 more,428975.0,4
 Pierrefonds-Est/Roxboro,7,30 less,2300000.0,1
 Pierrefonds-Ouest,2,30 more,334333.3333333333,3
 Pierrefonds-Ouest,3,20 less,709000.0,1
 Pierrefonds-Ouest,3,30 less,440000.0,1
 Pierrefonds-Ouest,3,30 more,471808.3333333333,12
 Pierrefonds-Ouest,4,30 less,523225.0,4
 Pierrefonds-Ouest,4,30 more,506368.4666666667,15
 Pierrefonds-Ouest,4,5 less,650000.0,1
 Pierrefonds-Ouest,5,20 less,799000.0,1
 Pierrefonds-Ouest,5,30 less,757000.0,2
 Pierrefonds-Ouest,7,30 more,1299000.0,1
 Pierrefonds-Roxboro,2,30 more,280000.0,1
 Pierrefonds-Roxboro,3,30 more,429000.0,2
 Pierrefonds-Roxboro,4,10 less,959000.0,1
 Pierrefonds-Roxboro,4,20 less,1495000.0,2
 Pierrefonds-Roxboro,4,30 more,699000.0,2
 Pierrefonds-Roxboro,5,30 less,460000.0,1
 Pierrefonds-Roxboro,7,30 more,1699000.0,1
 Plateau Mont-Royal,4,30 more,1725000.0,1
 Pointe-Claire,3,30 more,385500.0,1
 Pointe-Claire,4,30 less,790000.0,1
 Pointe-Claire,4,30 more,634414.2857142857,7
 Pointe-Claire,5,30 less,957500.0,2
 Pointe-Claire,5,30 more,659333.3333333334,3
